,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
72,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,527 sq ft",3,3,3 BHK Apartment ,"4, ",Baner,New,Freehold,14800000,"₹ 5,856/ sq ft ",Ready to move
73,1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Wifi","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,206 sq ft",,2,2 BHK Apartment ,"8, ",Baner,New,Freehold,8900000,"₹ 7,379/ sq ft ",Ready to move
74,7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Microwave,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Wifi","1,150 sq ft",1,2,2 BHK Apartment ,"6, ",Prabhat Road,Resale,Freehold,16500000,"₹ 14,347/ sq ft ","Ready to move,Unfurnished"
75,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM",Landscaped Gardens,425 sq ft,1,1,1 BHK Apartment ,"1, ",Mundhwa,New,Freehold,2231250,"₹ 5,250/ sq ft ",Under Construction
76,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,900 sq ft",1,3,3 BHK Apartment ,"3, ",Model Colony,New,Freehold,27500000,"₹ 14,473/ sq ft ",Ready to move
77,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Jogging Track,"1,361 sq ft",,3,3 BHK Apartment ,"1, ",Pashan,New,Freehold,8840016,"₹ 6,495/ sq ft ",Under Construction
78,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,AC,Gas connection","Club House,Gymnasium,Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","2,036 sq ft",2,4,3 BHK Apartment ,"10, ",Bavdhan,New,Co-Operative Society,18000000,"₹ 8,840/ sq ft ",Ready to move
79,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,Refrigerator,Sofa,Washing Machine,Gas connection","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,AC,Wardrobe,TV,Wifi,Dining Table,BED","1,820 sq ft",2,3,3 BHK Apartment ,"1, ",Erandwane,Resale,Freehold,23500000,"₹ 12,912/ sq ft ","Ready to move,Unfurnished"
80,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,AC,Wifi","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","3,030 sq ft",2,4,4 BHK Apartment ,"11, ",Baner,Resale,Freehold,35000000,"₹ 11,551/ sq ft ","Ready to move,Semi-Furnished"
81,0 - 1 year,AC,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,653 sq ft",2,4,4 BHK Apartment ,"16, ",Kothrud,New,Co-Operative Society,31836000,"₹ 12,000/ sq ft ",Ready to move
82,0 - 1 year,AC,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,930 sq ft",2,5,4 BHK Apartment ,"18, ",Kothrud,New,Co-Operative Society,23160000,"₹ 12,000/ sq ft ",Ready to move
83,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,650 sq ft",1,3,3 BHK Apartment ,"2, ",Ghole Road,New,Freehold,25000000,"₹ 15,151/ sq ft ",Ready to move
84,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,AC,Wifi,Gas connection","Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,440 sq ft",3,4,4 BHK Apartment ,"6, ",Wakad,New,Freehold,23000000,"₹ 9,426/ sq ft ",Under Construction
85,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Landscaped Gardens",,492 sq ft,,1,1 BHK Apartment ,"1, ",Kharadi,New,Freehold,2865908,"₹ 5,825/ sq ft ",Under Construction
86,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Wifi","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,000 sq ft",2,2,2 BHK Apartment ,"1, ",Baner,Resale,Freehold,6350000,"₹ 6,350/ sq ft ","Ready to move,Unfurnished"
87,,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens,Wifi","Lift Available,Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,350 sq ft",2,2,3 BHK Apartment ,"4, ",Moshi,Resale,Freehold,9000000,"₹ 6,666/ sq ft ","Under Construction,Semi-Furnished"
88,20 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Sports Facility,Jogging Track,Intercom,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,AC,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Swimming Pool,TV,Wifi",650 sq ft,1,2,1 BHK Apartment ,"2, ",Law collage Road,Resale,Freehold,11000000,"₹ 16,923/ sq ft ","Ready to move,Unfurnished"
89,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",952 sq ft,,2,2 BHK Apartment ,"3, ",Wakad,New,Freehold,7500000,"₹ 7,878/ sq ft ",Under Construction
90,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Children's play area,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,641 sq ft",2,3,3 BHK Apartment ,"3, ",Baner,New,Freehold,12000000,"₹ 7,312/ sq ft ",Ready to move
91,2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM,AC,Wifi","Sports Facility,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","2,600 sq ft",3,4,4 BHK Apartment ,"2, ",Wakad,Resale,Freehold,25000000,"₹ 9,615/ sq ft ","Ready to move,Semi-Furnished"
92,1 - 2 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School",Lift Available,"6,737 sq ft",3,5,5 BHK Villa ,Gr ,Bhugaon,New,Co-Operative Society,56122710,"₹ 8,330/ sq ft ",Ready to move
93,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"4,173 sq ft",2,5,4 BHK Apartment ,"3, ",Shivaji Nagar,New,Co-Operative Society,66768000,"₹ 16,000/ sq ft ",Ready to move
94,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,ATM",,884 sq ft,,2,2 BHK Apartment ,1,Kharadi,New,Freehold,4596800,"₹ 5,200/ sq ft ",Under Construction
95,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",,"1,150 sq ft",,2,2 BHK Apartment ,1,Wakad,New,Freehold,7187500,"₹ 6,250/ sq ft ",Under Construction
96,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",,"1,250 sq ft",,2,2 BHK Apartment ,1,Wakad,New,Freehold,7812500,"₹ 6,250/ sq ft ",Under Construction
97,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",,"1,550 sq ft",,3,3 BHK Apartment ,1,Wakad,New,Freehold,9687500,"₹ 6,250/ sq ft ",Under Construction
98,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Wifi","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",990 sq ft,2,2,2 BHK Apartment ,"4, ",Baner,New,Freehold,6500000,"₹ 6,565/ sq ft ",Ready to move
99,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,900 sq ft",1,3,3 BHK Apartment ,"2, ",Deccan Gymkhana,New,Freehold,30900000,"₹ 16,263/ sq ft ",Ready to move
100,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital","Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,001 sq ft",2,2,2 BHK Apartment ,"2, ",Baner,New,Freehold,6150000,"₹ 6,143/ sq ft ",Ready to move
101,7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Wifi","1,200 sq ft",1,2,2 BHK Apartment ,"5, ",Prabhat Road,Resale,Freehold,16400000,"₹ 13,666/ sq ft ","Ready to move,Semi-Furnished"
102,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,400 sq ft",2,3,3 BHK Apartment ,"1, ",Baner,New,Freehold,11500000,"₹ 8,214/ sq ft ",Ready to move
103,2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Microwave","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,610 sq ft",1,3,3 BHK Apartment ,"7, ",Wakad,Resale,Freehold,13100000,"₹ 8,136/ sq ft ","Ready to move,Semi-Furnished"
104,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","2,500 sq ft",3,3,3 BHK Apartment ,"4, ",Baner,New,Freehold,18000000,"₹ 7,200/ sq ft ",Ready to move
105,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,225 sq ft",2,2,2 BHK Apartment ,"3, ",Hinjewadi,New,Freehold,6260000,"₹ 5,110/ sq ft ",Ready to move
106,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",,"1,630 sq ft",,3,3 BHK Apartment ,1,Wakad,New,Freehold,10187500,"₹ 6,250/ sq ft ",Under Construction
107,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,ATM",,"1,087 sq ft",,2,2 BHK Apartment ,1,Kharadi,New,Freehold,5652400,"₹ 5,200/ sq ft ",Under Construction
108,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Multipurpose Room","Club House,Sports Facility,Landscaped Gardens","1,394 sq ft",,2,3 BHK Apartment ,"1, ",Karve Nagar,New,Freehold,12197500,"₹ 8,750/ sq ft ",Under Construction
109,1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,375 sq ft",1,3,3 BHK Apartment ,"4, ",Law collage Road,New,Freehold,20500000,"₹ 14,909/ sq ft ",Ready to move
110,6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,800 sq ft",3,4,3 BHK Villa ,"1, ",Wakad,Resale,Freehold,21000000,"₹ 7,500/ sq ft ","Ready to move,Semi-Furnished"
111,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,220 sq ft",1,2,2 BHK Apartment ,"3, ",Ghole Road,Resale,Freehold,18500000,"₹ 15,163/ sq ft ","Ready to move,Unfurnished"
112,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,580 sq ft",,3,3 BHK Apartment ,"8, ",Baner,New,Freehold,12500000,"₹ 7,911/ sq ft ",Under Construction
113,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,300 sq ft",1,3,3 BHK Apartment ,"2, ",Deccan Gymkhana,Resale,Freehold,20800000,"₹ 16,000/ sq ft ","Ready to move,Semi-Furnished"
114,20 - 21 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,020 sq ft",,2,2 BHK Apartment ,"2, ",Prabhat Road,Resale,Freehold,11000000,"₹ 10,784/ sq ft ","Ready to move,Unfurnished"
115,,"Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Multipurpose Room,Landscaped Gardens","Lift Available,Power Backup,24 X 7 Security,Sports Facility",477 sq ft,1,2,2 BHK Apartment ,"1, ",Hinjewadi,New,Freehold,4368708,"₹ 9,158/ sq ft ",Under Construction
116,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,100 sq ft",2,2,2 BHK Apartment ,"1, ",Sus,New,Freehold,5720000,"₹ 5,200/ sq ft ",Under Construction
117,9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wifi","1,470 sq ft",1,3,3 BHK Apartment ,"2, ",Erandwane,Resale,Freehold,17300000,"₹ 11,768/ sq ft ","Ready to move,Semi-Furnished"
118,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track",980 sq ft,2,2,2 BHK Apartment ,"1, ",Baner,New,Freehold,6370000,"₹ 6,500/ sq ft ",Under Construction
119,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Sports Facility,Jogging Track","1,360 sq ft",2,3,3 BHK Apartment ,"2, ",Baner,New,Freehold,8840000,"₹ 6,500/ sq ft ",Under Construction
120,13 - 14 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Swimming Pool,AC,TV,Wifi,BED","1,950 sq ft",1,3,3 BHK Apartment ,"4, ",Senapati Bapat Road,Resale,Freehold,24500000,"₹ 12,564/ sq ft ","Ready to move,Unfurnished"
121,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,ATM",Landscaped Gardens,300 sq ft,1,1,1 BHK Apartment ,"1, ",Mundhwa,New,Freehold,1575000,"₹ 5,250/ sq ft ",Under Construction
122,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Jogging Track,Rain Water Harvesting,Landscaped Gardens","Club House,Gymnasium,Swimming Pool,Sports Facility",945 sq ft,,2,2 BHK Apartment ,"1, ",Rahatani,New,Freehold,6500000,"₹ 6,878/ sq ft ",Under Construction
123,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Landscaped Gardens",,707 sq ft,,2,2 BHK Apartment ,1,Bavdhan,New,Freehold,4383400,"₹ 6,200/ sq ft ",Under Construction
124,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Landscaped Gardens",,"1,019 sq ft",,3,3 BHK Apartment ,1,Bavdhan,New,Freehold,6317800,"₹ 6,200/ sq ft ",Under Construction
125,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room",Landscaped Gardens,"1,175 sq ft",,2,2 BHK Apartment ,1,Kharadi,New,Freehold,6568250,"₹ 5,590/ sq ft ",Under Construction
